Submitted by:,,,,,,,,,,,,,,,,,,
Chirag Gour,,,,,,,,,,,,,,,,,,
Nitheeshvar,,,,,,,,,,,,,,,,,,
Amirthan Arul,,,,,,,,,,,,,,,,,,
Prachee Yadav,,,,,,,,,,,,,,,,,,
Al(wt%),Co(wt%),Cr(wt%),Temperature,EFCC,EHCP,EDHCP,aFCC,aHCP,aDHCP,ANNNI(I),ANNNI(E),ANNNI(T),DMLF(I),DMLF(E),DMLF(T),ANNI(I),ANNI(E),ANNI(T)
0.75,0.125,0.125,100,-4.083424907,-4.077168169,-4.090758706,3.6,2.6,2.62,-4.501928047,-15.70171678,-7.850858392,-20.93562242,-2915.751438,-10.46781121,6.69786069,-7.850858392,-3.925429196
0.125,0.75,0.125,100,-5.870641046,-3.407672674,-5.935556393,6.6,2.8,2.75,371.5486118,-41.35067945,-20.67533973,-55.13423939,-228.1574097,-27.56711969,784.447903,-20.67533973,-10.33766986
0.125,0.125,0.75,100,-5.870641046,-3.407672674,-3.849516985,6.6,2.8,2.76,1035.945791,1287.443679,643.7218396,1716.591576,657.7054979,858.295788,784.447903,643.7218396,321.8609198
0.5,0.25,0.25,100,-3.236225906,-3.796566464,-3.790874078,6.16,2.7,2.69,-305.2275688,-405.5825859,-202.791293,-540.7767823,-1332.374295,-270.3883912,-204.8725516,-202.791293,-101.3956465
0.25,0.5,0.25,100,-4.324,-3.499929062,-3.522455688,6.05,2.7,2.778,459.9924732,607.6310042,303.8155021,810.1746739,-271.0800472,405.087337,312.3539423,303.8155021,151.907751
0.25,0.25,0.5,100,-4.188059948,-3.507272773,-3.520650841,5.995,2.7,2.79,389.0364404,515.2724133,257.6362066,687.0298858,-383.8800152,343.5149429,262.8004675,257.6362066,128.8181033
0.25,0.375,0.375,100,-4.324575797,-4.503719295,-3.51911242,6.05,4.25,2.8,271.3499069,610.6019508,305.3009754,814.1359361,-776.2530223,407.0679681,-67.90213713,305.3009754,152.6504877
0.375,0.25,0.375,100,-3.991361191,-3.645781293,-3.655761259,6,2.7,2.75,195.9239552,258.6678788,129.3339394,344.8905057,-675.44536,172.4452529,133.1800317,129.3339394,64.66696969
0.375,0.375,0.25,100,-3.494496935,-3.61273257,-3.616793102,6.025,2.7,2.75,-69.33456611,-93.48068397,-46.74034199,-124.6409122,-1012.945672,-62.32045611,-45.18844826,-46.74034199,-23.37017099
0.75,0.25,0,100,-4.058435789,-4.058713559,-4.059081678,3.65,2.55,2.59,-0.8172445251,-1.345226139,-0.6726130696,-1.793634856,-2818.85328,-0.896817428,-0.289262911,-0.6726130696,-0.3363065348
0.5,0.5,0,100,-3.850485875,-3.719353018,-3.470305932,6,2.7,4.3,171.7823179,293.0284843,146.5142421,390.7046465,-726.5363215,195.3523233,50.53615141,146.5142421,73.25712107
0.25,0.75,0,100,-4.263023668,-3.501134351,-3.51911242,6.1,2.8,2.8,419.401873,554.7337556,277.3668778,739.645009,-311.0614461,369.8225045,284.0699904,277.3668778,138.6834389
0,0.75,0.25,100,-3.354992633,-3.331426989,-3.34405965,4,2.9,2.88,19.69705474,18.9601526,9.480076299,25.28020352,-1899.54178,12.64010176,20.43395688,9.480076299,4.740038149
0,0.5,0.5,100,-3.354992633,-3.331426989,-3.34405965,4,2.9,2.88,19.69705474,18.9601526,9.480076299,25.28020352,-1899.54178,12.64010176,20.43395688,9.480076299,4.740038149
0,0.25,0.75,100,-3.354992633,-3.331426989,-3.344596498,4,2.9,2.882,19.23154958,18.02914228,9.014571139,24.03885642,-1900.162453,12.01942821,20.43395688,9.014571139,4.507285569
0.75,0,0.25,100,-3.838658128,-4.108712826,-4.130741408,5.5,2.6,2.63,-195.8881402,-267.9195815,-133.9597908,-357.2261094,-1517.452175,-178.6130547,-123.8566988,-133.9597908,-66.97989538
0.5,0,0.5,100,-3.859796896,-3.885170544,-3.863356191,3.9,2.7,2.655,-14.81881781,-6.493186973,-3.246593486,-8.657582649,-2382.31794,-4.328791324,-23.14444864,-3.246593486,-1.623296743
0.25,0,0.75,100,-4.873560316,-3.586614845,-3.563536725,6,2.8,2.7,752.8409615,1009.717199,504.8585996,1346.289602,82.31174509,673.1448009,495.9647236,504.8585996,252.4292998
1,0,0,100,-4.396196378,-4.399508717,-4.406687826,3.6,2.5,2.52,-13.00406853,-22.46226617,-11.23113308,-29.94968828,-3157.132109,-14.97484414,-3.545870897,-11.23113308,-5.615566542
0,1,0,100,-3.360000019,-3.331426989,-3.34390084,4.05,2.9,2.88,25.70113223,27.23433786,13.61716893,36.31245056,-1844.279137,18.15622528,24.1679266,13.61716893,6.808584466
0,0,1,100,-8.306150911,-3.331426989,-3.34405965,6.6,2.9,2.88,2372.628096,3160.821818,1580.410909,4214.4291,2456.13792,2107.21455,1584.434373,1580.410909,790.2054546
0.75,0.125,0.125,550,-4.083424907,-3.586614845,-4.090758706,3.6,2.8,2.63,258.067627,-15.70171678,-7.850858392,-20.93562242,-2215.565957,-10.46781121,531.8369708,-7.850858392,-3.925429196
0.125,0.75,0.125,550,-5.870641046,-3.404397999,-3.430593705,6.6,2.85,2.82,1169.893063,1554.295249,777.1476247,2072.39367,836.9971769,1036.196835,785.490877,777.1476247,388.5738123
0.125,0.125,0.75,550,-5.870641046,-3.404397999,-3.432557169,6.6,2.85,2.84,1169.267706,1553.044535,776.5222674,2070.726051,836.1633672,1035.363025,785.490877,776.5222674,388.2611337
0.5,0.25,0.25,550,-4.247418566,-3.796566464,-3.790874078,6.1,2.7,2.69,254.2723203,340.4446956,170.2223478,453.9262618,-604.668645,226.9631309,168.099945,170.2223478,85.11117391
0.25,0.5,0.25,550,-3.771254616,-3.796566464,-3.513653569,6,2.7,2.785,94.39727088,198.5492548,99.27462738,264.7323402,-849.5541301,132.3661701,-9.754712986,99.27462738,49.63731369
0.25,0.25,0.5,550,-4.247418566,-3.502669345,-3.513653569,6.1,2.75,2.784,412.4235117,547.167708,273.583854,729.5569455,-320.7474755,364.7784727,277.6793155,273.583854,136.791927
0.25,0.375,0.375,550,-4.247418566,-3.501134351,-3.522889398,6.1,2.8,2.774,409.2660991,540.280561,270.1402805,720.3740828,-324.5758114,360.1870414,278.2516372,270.1402805,135.0701402
0.375,0.25,0.375,550,-3.991361191,-3.648781293,-3.651775409,6,2.7,2.766,196.8819553,261.7400229,130.8700114,348.9866979,-674.9387892,174.493349,132.0238878,130.8700114,65.43500572
0.375,0.375,0.25,550,-4.198657145,-3.61273257,-3.61795732,6,2.7,2.732,336.6930441,447.5817115,223.7908557,596.7756165,-479.2623345,298.3878083,225.8043767,223.7908557,111.8954279
0.75,0.25,0,550,-3.749644251,-4.047485894,-4.063723182,5.3,2.6,2.566,-228.6768295,-310.2488662,-155.1244331,-413.6651558,-1637.611926,-206.8325779,-147.1047927,-155.1244331,-77.56221656
0.5,0.5,0,550,-3.808440302,-3.724396296,-3.716920369,6,2.63,2.69,51.46456542,70.54014222,35.27007111,94.05352316,-888.2557151,47.02676158,32.38898862,35.27007111,17.63503556
0.25,0.75,0,550,-4.263023668,-3.501134351,-3.521457393,6.1,2.8,2.772,418.5275512,552.9851119,276.492556,737.3134841,-312.2272085,368.656742,284.0699904,276.492556,138.246278
0,0.75,0.25,550,-8.325276634,-3.331426989,-4.130741408,6.5,2.9,2.63,2197.289693,2754.737816,1377.368908,3672.983762,2200.420844,1836.491881,1639.841571,1377.368908,688.684454
0,0.5,0.5,550,-3.808440302,-3.331426989,-3.344086304,6,2.9,2.885,270.8693555,357.9066984,178.9533492,477.2089322,-494.7539783,238.6044661,183.8320125,178.9533492,89.47667461
0,0.25,0.75,550,-8.325276634,-3.331426989,-3.344086304,6.5,2.9,2.885,2455.605388,3271.369206,1635.684603,4361.825617,2544.841772,2180.912808,1639.841571,1635.684603,817.8423015
0.75,0,0.25,550,-3.838658128,-4.108712826,-4.130741408,5.5,2.6,2.63,-195.8881402,-267.9195815,-133.9597908,-357.2261094,-1517.452175,-178.6130547,-123.8566988,-133.9597908,-66.97989538
0.5,0,0.5,550,-3.808440302,-3.885170544,-3.86846613,6,2.7,2.69,-37.91803222,-46.26566372,-23.13283186,-61.68755176,-1048.738772,-30.84377588,-29.57040071,-23.13283186,-11.56641593
0.25,0,0.75,550,-4.83182064,-3.586614845,-3.60187536,6,2.8,2.81,713.9374322,947.9958314,473.9979157,1263.994445,30.4403726,631.9972223,479.8790329,473.9979157,236.9989579
1,0,0,550,-4.398038369,-4.399508717,-4.406687826,3.5,2.5,2.52,-10.62855575,-19.59187014,-9.795935069,-26.12249357,-3335.944618,-13.06124679,-1.66524136,-9.795935069,-4.897967535
0,1,0,550,-3.354992633,-3.331426989,-3.344095904,4,2.9,2.882,19.66561861,18.89728034,9.448640168,25.19637383,-1899.583694,12.59818692,20.43395688,9.448640168,4.724320084
0,0,1,550,-3.354992633,-3.331426989,-3.344095904,4,2.9,2.882,19.66561861,18.89728034,9.448640168,25.19637383,-1899.583694,12.59818692,20.43395688,9.448640168,4.724320084
0.75,0.125,0.125,350,-4.083424907,-4.097648979,-4.087127711,6.56,2.59,2.6,-3.48662759,-2.387515412,-1.193757706,-3.183353889,-885.3507867,-1.591676944,-4.585739769,-1.193757706,-0.5968788529
0.125,0.75,0.125,350,-5.870641046,-3.417584634,-3.430143573,6.6,2.84,2.83,1167.936477,1554.581981,777.2909903,2072.775978,831.5884605,1036.387989,781.290974,777.2909903,388.6454952
0.125,0.125,0.75,350,-5.870641046,-3.417584634,-3.432557169,6.6,2.84,2.84,1167.167754,1553.044535,776.5222674,2070.726051,830.5634966,1035.363025,781.290974,776.5222674,388.2611337
0.5,0.25,0.25,350,-3.771254616,-3.796566464,-3.78567191,6,2.7,2.685,-10.43351205,-11.11231112,-5.55615556,-14.81641486,-989.3285076,-7.408207429,-9.754712986,-5.55615556,-2.77807778
0.25,0.5,0.25,350,-4.247418566,-3.501134351,-3.520650841,6.1,2.8,2.785,410.1007437,541.9498503,270.9749252,722.5998019,-323.4629518,361.299901,278.2516372,270.9749252,135.4874626
0.25,0.25,0.5,350,-4.247418566,-3.501134351,-3.520650841,6.1,2.8,2.785,410.1007437,541.9498503,270.9749252,722.5998019,-323.4629518,361.299901,278.2516372,270.9749252,135.4874626
0.25,0.375,0.375,350,-4.247418566,-3.509134797,-3.51911242,6.1,2.81,2.8,409.1828623,543.0970491,271.5485245,724.1294003,-326.6754348,362.0647001,275.2686755,271.5485245,135.7742623
0.375,0.25,0.375,350,-3.991361191,-3.650184331,-3.655761259,6,2.72,2.75,195.075531,258.6678788,129.3339394,344.8905057,-677.7078247,172.4452529,131.4831832,129.3339394,64.66696969
0.375,0.375,0.25,350,-4.198657145,-3.545405923,-3.616793102,6,2.94,2.75,350.1149274,448.4790472,224.2395236,597.9720641,-444.0688693,298.9860321,251.7508077,224.2395236,112.1197618
0.75,0.25,0,350,-3.744820918,-4.047485894,-4.04972425,5.7,2.6,2.6,-194.8196733,-260.3967726,-130.1983863,-347.1956976,-1411.985157,-173.5978488,-129.2425741,-130.1983863,-65.09919316
0.5,0.5,0,350,-3.808440302,-3.719353018,-3.717579112,6,2.7,2.7,52.18249071,70.03240775,35.01620388,93.37654386,-886.002758,46.68827193,34.33257367,35.01620388,17.50810194
0.25,0.75,0,350,-4.263023668,-3.509134797,-3.520650841,6.1,2.81,2.79,417.3367928,553.5865568,276.7932784,738.1154106,-315.8035275,369.0577053,281.0870287,276.7932784,138.3966392
0,0.75,0.25,350,-8.325276634,-3.329149037,-3.34289076,6.5,2.925,2.9,2456.37198,3272.154373,1636.077186,4362.872506,2546.362571,2181.436253,1640.589587,1636.077186,818.0385932
0,0.5,0.5,350,-8.325276634,-3.331449707,-3.342890764,6.5,2.902,2.9,2455.99424,3272.15437,1636.077185,4362.872503,2545.355268,2181.436251,1639.834111,1636.077185,818.0385925
0,0.25,0.75,350,-8.325276634,-3.331426989,-3.342890764,6.5,2.9,2.9,2455.99797,3272.15437,1636.077185,4362.872503,2545.365214,2181.436251,1639.841571,1636.077185,818.0385925
0.75,0,0.25,350,-3.838658128,-4.113004163,-4.106401469,5.5,2.55,2.56,-185.7090576,-245.5932564,-122.7966282,-327.4576759,-1505.192172,-163.7288379,-125.8248587,-122.7966282,-61.3983141
0.5,0,0.5,350,-3.645010387,-3.331549707,-3.869688366,6.1,2.9025,2.7,-25.33423783,-167.5421086,-83.77105429,-223.3894786,-861.8899042,-111.6947393,116.8736329,-83.77105429,-41.88552714
0.25,0,0.75,350,-4.873560316,-3.586614845,-3.602512092,6,2.8,2.8,737.8205837,979.6764437,489.8382219,1306.235261,62.28457471,653.1176305,495.9647236,489.8382219,244.9191109
1,0,0,350,-4.398038369,-4.404407651,-4.406687826,3.5,2.52,2.521,-13.40269749,-19.59187014,-9.795935069,-26.12249357,-3343.342329,-13.06124679,-7.213524839,-9.795935069,-4.897967535
0,1,0,350,-3.354992633,-3.331426989,-3.34405965,4,2.9,2.88,19.69705474,18.9601526,9.480076299,25.28020352,-1899.54178,12.64010176,20.43395688,9.480076299,4.740038149
0,0,1,350,-3.354992633,-3.331426989,-3.34405965,4,2.9,2.88,19.69705474,18.9601526,9.480076299,25.28020352,-1899.54178,12.64010176,20.43395688,9.480076299,4.740038149
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LINK FOR ALL INPUT OUTPUT FILES,,,,,,,,,,,,,,,,,,
KEY - EFCC = Total Energy/ atom (eV) For FCC crystal structure,,,,,,,,,,,,,,,,,,
KEY - aFCC = Equilibrium Lattice Parameter ( Ã… ) For FCC crystal structure,,,,,,,,,,,,,,,,,,
KEY- ANNNI(E) Extrinsic Stacking Fault Energy Calculated from ANNNI Model (mJ/m^2),,,,,,,,,,,,,,,,,,
KEY- ANNNI(I) Intrinsic Stacking Fault Energy Calculated from ANNNI Model (mJ/m^2),,,,,,,,,,,,,,,,,,
KEY- ANNNI(T) Twin Boundary Stacking Fault Energy Calculated from ANNNI Model (mJ/m^2),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Submitted by:,,,,,,,,,,,,,,,,,,
Chirag Gour,,,,,,,,,,,,,,,,,,
Nitheeshvar,,,,,,,,,,,,,,,,,,
Amirthan Arul,,,,,,,,,,,,,,,,,,
Prachee Yadav,,,,,,,,,,,,,,,,,,